site_key,country,lang,brand,brand_slug,url,statut,template,pages_decouvertes
spoticar-at-de,AT,de,SPOTICAR,spoticar,https://wir-kaufen-ihr-auto.spoticar.at,a_traiter,shared,
stellantis-you-at-de,AT,de,STELLANTIS &YOU,stellantis-you,https://recoveryat.stellantisandyou.com,a_traiter,shared,
spoticar-be-fr,BE,fr,SPOTICAR,spoticar,https://www.reprise.spoticar.be,a_traiter,shared,
spoticar-be-nl,BE,nl,SPOTICAR,spoticar,https://www.overname.spoticar.be,a_traiter,shared,
stellantis-you-be-fr,BE,fr,STELLANTIS &YOU,stellantis-you,https://recoverybe.stellantisandyou.com,a_traiter,shared,
stellantis-you-be-nl,BE,nl,STELLANTIS &YOU,stellantis-you,https://recoverybenl.stellantisandyou.com,a_traiter,shared,
spoticar-de-de,DE,de,SPOTICAR,spoticar,https://autoankauf.spoticar.de,a_traiter,shared,
stellantis-you-de-de,DE,de,STELLANTIS &YOU,stellantis-you,https://recoveryde.stellantisandyou.com,a_traiter,shared,
spoticar-es-es,ES,es,SPOTICAR,spoticar,https://tasacion.spoticar.es,a_traiter,shared,
stellantis-you-es-es,ES,es,STELLANTIS &YOU,stellantis-you,https://recoveryes.stellantisandyou.com,a_traiter,shared,
spoticar-fr-fr,FR,fr,SPOTICAR,spoticar,https://www.reprise.spoticar.fr,a_traiter,shared,
stellantis-you-fr-fr,FR,fr,STELLANTIS &YOU,stellantis-you,https://recoveryfr.stellantisandyou.com,a_traiter,shared,
spoticar-it-it,IT,it,SPOTICAR,spoticar,https://www.valutazioneusato.spoticar.it,a_traiter,shared,
stellantis-you-it-it,IT,it,STELLANTIS &YOU,stellantis-you,https://www.recoveryit.stellantisandyou.com,a_traiter,shared,
spoticar-lu-fr,LU,fr,SPOTICAR,spoticar,https://www.reprise.spoticar.lu,a_traiter,shared,
spoticar-pl-pl,PL,pl,SPOTICAR,spoticar,https://odkup.spoticar.pl,a_traiter,shared,
stellantis-you-pl-pl,PL,pl,STELLANTIS &YOU,stellantis-you,https://recoverypl.stellantisandyou.com,a_traiter,shared,
spoticar-uk-en,UK,en,SPOTICAR,spoticar,https://tradein.spoticar.co.uk,a_traiter,shared,
lancia-be-fr,BE,fr,LANCIA,lancia,https://reprise.lancia.be,a_traiter,shared,
lancia-be-nl,BE,nl,LANCIA,lancia,https://overname.lancia.be,a_traiter,shared,
leapmotor-be-fr,BE,fr,LEAPMOTOR,leapmotor,https://reprise.leapmotor-international.be,a_traiter,shared,
leapmotor-be-nl,BE,nl,LEAPMOTOR,leapmotor,https://overname.leapmotor-international.be,a_traiter,shared,
lancia-fr-fr,FR,fr,LANCIA,lancia,https://reprise.lancia.fr,a_traiter,shared,
lancia-it-it,IT,it,LANCIA,lancia,https://valutazioneusato.lancia.it,a_traiter,shared,
lancia-lu-fr,LU,fr,LANCIA,lancia,https://reprise.lancia.lu,a_traiter,shared,
leapmotor-lu-fr,LU,fr,LEAPMOTOR,leapmotor,https://reprise.leapmotor-international.lu,a_traiter,shared,
