site_key,country,lang,brand,brand_slug,url,statut,template,pages_decouvertes
citroen-at-de,AT,de,CITROËN,citroen,https://www.citroen-kauft-ihr-auto.at,a_traiter,shared,
opel-at-de,AT,de,OPEL,opel,https://opel-kauft-dein-auto.opel.at,a_traiter,shared,
peugeot-at-de,AT,de,PEUGEOT,peugeot,https://www.wir-kaufen-ihr-auto.peugeot.at,a_traiter,peugeot,
abarth-be-fr,BE,fr,ABARTH,abarth,https://reprise.abarthbelgium.be,a_traiter,shared,
abarth-be-nl,BE,nl,ABARTH,abarth,https://overname.abarthbelgium.be,a_traiter,shared,
alfa-romeo-be-nl,BE,nl,ALFA ROMEO,alfa-romeo,https://overname.alfaromeo.be,a_traiter,shared,
alfa-romeo-be-fr,BE,fr,ALFA ROMEO,alfa-romeo,https://reprise.alfaromeo.be,a_traiter,shared,
citroen-be-fr,BE,fr,CITROËN,citroen,https://reprise.citroen.be,a_traiter,shared,
citroen-be-nl,BE,nl,CITROËN,citroen,https://overname.citroen.be,a_traiter,shared,
ds-automobiles-be-fr,BE,fr,DS AUTOMOBILES,ds-automobiles,https://reprise.dsautomobiles.be,a_traiter,shared,
ds-automobiles-be-nl,BE,nl,DS AUTOMOBILES,ds-automobiles,https://overname.dsautomobiles.be,a_traiter,shared,
fiat-be-fr,BE,fr,FIAT,fiat,https://reprise.fiat.be,a_traiter,shared,
fiat-be-nl,BE,nl,FIAT,fiat,https://overname.fiat.be,a_traiter,shared,
fiat-professional-be-fr,BE,fr,FIAT PROFESSIONAL,fiat-professional,https://reprisebelgique.fiatprofessional.com,a_traiter,shared,
fiat-professional-be-nl,BE,nl,FIAT PROFESSIONAL,fiat-professional,https://overname.fiatprofessional.com,a_traiter,shared,
jeep-be-fr,BE,fr,JEEP,jeep,https://reprise.jeep.be,a_traiter,shared,
jeep-be-nl,BE,nl,JEEP,jeep,https://overname.jeep.be,a_traiter,shared,
opel-be-fr,BE,fr,OPEL,opel,https://www.reprise.opel.be,a_traiter,shared,
opel-be-nl,BE,nl,OPEL,opel,https://www.overname.opel.be,a_traiter,shared,
peugeot-be-fr,BE,fr,PEUGEOT,peugeot,https://reprise.peugeot.be,a_traiter,peugeot,
peugeot-be-nl,BE,nl,PEUGEOT,peugeot,https://overname.peugeot.be,a_traiter,peugeot,
alfa-romeo-de-de,DE,de,ALFA ROMEO,alfa-romeo,https://autoankauf.alfaromeo.de,a_traiter,shared,
citroen-de-de,DE,de,CITROËN,citroen,https://www.citroen-kauft-ihr-auto.de,a_traiter,shared,
ds-automobiles-de-de,DE,de,DS AUTOMOBILES,ds-automobiles,https://www.autoankauf.dsautomobiles.de,a_traiter,shared,
opel-de-de,DE,de,OPEL,opel,https://www.opel-kauft-dein-auto.de,a_traiter,shared,
peugeot-de-de,DE,de,PEUGEOT,peugeot,https://www.autoankauf.peugeot.de,a_traiter,peugeot,
abarth-es-es,ES,es,ABARTH,abarth,https://tasacion.abarth.es,a_traiter,shared,
alfa-romeo-es-es,ES,es,ALFA ROMEO,alfa-romeo,https://tasacion.alfaromeo.es,a_traiter,shared,
citroen-es-es,ES,es,CITROËN,citroen,https://www.tasacion.citroen.es,a_traiter,shared,
ds-automobiles-es-es,ES,es,DS AUTOMOBILES,ds-automobiles,https://www.tasacion.dsautomobiles.es,a_traiter,shared,
fiat-es-es,ES,es,FIAT,fiat,https://tasacion.fiat.es,a_traiter,shared,
